district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,10,20,1,0,0,31,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,MAIL,1253,3,5,2141,2141,1261,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,ONLINE,92,0,1,266,237,93,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,SPECIAL NEEDS,9,0,0,0,0,9,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,FWAB,0,0,0,0,0,0,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,AV TOTAL,1364,23,7,2408,2379,1394,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,EARLY,834,0,0,0,0,0,HOUSE: 01,2020-10-28
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-28
02,Fairbanks/Wainwright,INPERSON,1,8,0,0,0,9,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,MAIL,864,11,1,1498,1498,876,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,ONLINE,228,6,2,518,499,236,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,SPECIAL NEEDS,4,0,0,0,0,4,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,FWAB,0,0,0,5,5,0,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,AV TOTAL,1097,25,3,2021,2002,1125,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,EARLY,513,0,0,0,0,0,HOUSE: 02,2020-10-28
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-28
03,North Pole/Badger,INPERSON,3,7,0,0,0,10,HOUSE: 03,2020-10-28
03,North Pole/Badger,MAIL,966,11,3,1695,1695,980,HOUSE: 03,2020-10-28
03,North Pole/Badger,ONLINE,257,3,2,554,529,262,HOUSE: 03,2020-10-28
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-28
03,North Pole/Badger,SPECIAL NEEDS,5,0,0,0,0,5,HOUSE: 03,2020-10-28
03,North Pole/Badger,FWAB,0,0,0,2,2,0,HOUSE: 03,2020-10-28
03,North Pole/Badger,AV TOTAL,1231,21,5,2251,2226,1257,HOUSE: 03,2020-10-28
03,North Pole/Badger,EARLY,617,0,0,0,0,0,HOUSE: 03,2020-10-28
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-10-28
04,Western Fairbanks,INPERSON,8,13,0,0,0,21,HOUSE: 04,2020-10-28
04,Western Fairbanks,MAIL,2137,10,5,3509,3509,2152,HOUSE: 04,2020-10-28
04,Western Fairbanks,ONLINE,118,2,0,346,318,120,HOUSE: 04,2020-10-28
04,Western Fairbanks,FAX,1,0,0,1,1,1,HOUSE: 04,2020-10-28
04,Western Fairbanks,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 04,2020-10-28
04,Western Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 04,2020-10-28
04,Western Fairbanks,AV TOTAL,2266,25,5,3858,3830,2296,HOUSE: 04,2020-10-28
04,Western Fairbanks,EARLY,1487,0,0,0,0,0,HOUSE: 04,2020-10-28
04,Western Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 04,2020-10-28
05,Chena Ridge/Airport,INPERSON,6,12,0,0,0,18,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,MAIL,1550,8,5,2712,2712,1563,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,ONLINE,118,0,0,323,298,118,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,FAX,0,0,0,1,1,0,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,FWAB,0,0,0,1,1,0,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,AV TOTAL,1676,20,5,3037,3012,1701,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,EARLY,1181,0,0,0,0,0,HOUSE: 05,2020-10-28
05,Chena Ridge/Airport,QUESTIONED,0,0,0,0,0,0,HOUSE: 05,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,INPERSON,119,10,1,0,0,130,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,MAIL,1581,7,1,2410,2410,1589,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,ONLINE,249,5,0,587,566,254,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,FAX,0,0,0,0,0,0,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,FWAB,0,0,0,1,1,0,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,AV TOTAL,1949,22,2,2998,2977,1973,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,EARLY,318,0,0,0,0,0,HOUSE: 06,2020-10-28
06,Eielson/Denali/Upper Yukon/Border Region,QUESTIONED,0,0,0,0,0,0,HOUSE: 06,2020-10-28
07,Greater Wasilla,INPERSON,18,18,1,0,0,37,HOUSE: 07,2020-10-28
07,Greater Wasilla,MAIL,1269,9,5,2276,2276,1283,HOUSE: 07,2020-10-28
07,Greater Wasilla,ONLINE,71,1,1,257,221,73,HOUSE: 07,2020-10-28
07,Greater Wasilla,FAX,0,0,0,0,0,0,HOUSE: 07,2020-10-28
07,Greater Wasilla,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 07,2020-10-28
07,Greater Wasilla,FWAB,0,0,0,0,0,0,HOUSE: 07,2020-10-28
07,Greater Wasilla,AV TOTAL,1358,28,7,2533,2497,1393,HOUSE: 07,2020-10-28
07,Greater Wasilla,EARLY,1956,0,0,0,0,0,HOUSE: 07,2020-10-28
07,Greater Wasilla,QUESTIONED,0,0,0,0,0,0,HOUSE: 07,2020-10-28
08,Big Lake/Point Mackenzie,INPERSON,13,22,0,0,0,35,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,MAIL,1321,3,6,2237,2237,1330,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,ONLINE,53,2,0,256,205,55,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,FAX,0,0,0,0,0,0,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,FWAB,0,0,0,0,0,0,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,AV TOTAL,1387,27,6,2493,2442,1420,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,EARLY,1345,0,0,0,0,0,HOUSE: 08,2020-10-28
08,Big Lake/Point Mackenzie,QUESTIONED,0,0,0,0,0,0,HOUSE: 08,2020-10-28
