district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,28,57,1,0,0,86,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,MAIL,1582,15,6,2139,2139,1603,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,ONLINE,148,4,1,335,335,153,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,FAX,0,0,0,2,1,0,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,SPECIAL NEEDS,36,0,0,0,0,36,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,AV TOTAL,1794,76,8,2478,2477,1878,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,EARLY,1425,0,0,0,0,0,HOUSE: 01,2020-11-03
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-11-03
02,Fairbanks/Wainwright,INPERSON,7,26,0,0,0,33,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,MAIL,1115,21,4,1492,1492,1140,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,ONLINE,309,12,2,594,594,323,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,SPECIAL NEEDS,9,2,0,0,0,11,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,FWAB,0,0,0,9,9,0,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,AV TOTAL,1440,61,6,2095,2095,1507,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,EARLY,902,0,0,0,0,0,HOUSE: 02,2020-11-03
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-11-03
03,North Pole/Badger,INPERSON,6,26,0,0,0,32,HOUSE: 03,2020-11-03
03,North Pole/Badger,MAIL,1237,11,4,1692,1692,1252,HOUSE: 03,2020-11-03
03,North Pole/Badger,ONLINE,351,9,2,644,644,362,HOUSE: 03,2020-11-03
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-03
03,North Pole/Badger,SPECIAL NEEDS,7,0,0,0,0,7,HOUSE: 03,2020-11-03
03,North Pole/Badger,FWAB,0,0,0,5,5,0,HOUSE: 03,2020-11-03
03,North Pole/Badger,AV TOTAL,1601,46,6,2341,2341,1653,HOUSE: 03,2020-11-03
03,North Pole/Badger,EARLY,1167,0,0,0,0,0,HOUSE: 03,2020-11-03
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-11-03
04,Western Fairbanks,INPERSON,17,31,0,0,0,48,HOUSE: 04,2020-11-03
