district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,5,5,0,0,0,10,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,MAIL,1094,1,3,2133,2113,1098,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,ONLINE,70,0,1,199,192,71,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,FAX,0,0,0,1,0,0,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,SPECIAL NEEDS,6,0,0,0,0,6,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,FWAB,0,0,0,0,0,0,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,AV TOTAL,1175,6,4,2333,2305,1185,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,EARLY,446,0,0,0,0,0,HOUSE: 01,2020-10-24
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-24
02,Fairbanks/Wainwright,INPERSON,0,0,0,0,0,0,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,MAIL,748,6,1,1499,1486,755,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,ONLINE,183,5,0,469,463,188,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,FWAB,0,0,0,5,5,0,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,AV TOTAL,933,11,1,1973,1954,945,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,EARLY,271,0,0,0,0,0,HOUSE: 02,2020-10-24
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-24
03,North Pole/Badger,INPERSON,0,1,0,0,0,1,HOUSE: 03,2020-10-24
03,North Pole/Badger,MAIL,817,5,3,1682,1671,825,HOUSE: 03,2020-10-24
03,North Pole/Badger,ONLINE,196,0,2,497,485,198,HOUSE: 03,2020-10-24
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-24
03,North Pole/Badger,SPECIAL NEEDS,3,0,0,0,0,3,HOUSE: 03,2020-10-24
03,North Pole/Badger,FWAB,0,0,0,1,1,0,HOUSE: 03,2020-10-24
03,North Pole/Badger,AV TOTAL,1016,6,5,2180,2157,1027,HOUSE: 03,2020-10-24
03,North Pole/Badger,EARLY,351,0,0,0,0,0,HOUSE: 03,2020-10-24
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-10-24
04,Western Fairbanks,INPERSON,2,3,0,0,0,5,HOUSE: 04,2020-10-24
04,Western Fairbanks,MAIL,1821,6,3,3502,3469,1830,HOUSE: 04,2020-10-24
04,Western Fairbanks,ONLINE,92,0,0,277,265,92,HOUSE: 04,2020-10-24
04,Western Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 04,2020-10-24
04,Western Fairbanks,SPECIAL NEEDS,1,0,0,0,0,1,HOUSE: 04,2020-10-24
04,Western Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 04,2020-10-24
04,Western Fairbanks,AV TOTAL,1916,9,3,3782,3737,1928,HOUSE: 04,2020-10-24
04,Western Fairbanks,EARLY,838,0,0,0,0,0,HOUSE: 04,2020-10-24
04,Western Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 04,2020-10-24
05,Chena Ridge/Airport,INPERSON,1,1,1,0,0,3,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,MAIL,1340,7,5,2711,2693,1352,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,ONLINE,93,0,0,262,249,93,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,FAX,0,0,0,1,0,0,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,FWAB,0,0,0,1,1,0,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,AV TOTAL,1434,8,6,2975,2943,1448,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,EARLY,681,0,0,0,0,0,HOUSE: 05,2020-10-24
05,Chena Ridge/Airport,QUESTIONED,0,0,0,0,0,0,HOUSE: 05,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,INPERSON,4,4,0,0,0,8,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,MAIL,1348,3,1,2404,2394,1352,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,ONLINE,187,1,0,516,500,188,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,FAX,0,0,0,0,0,0,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,FWAB,0,0,0,1,1,0,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,AV TOTAL,1539,8,1,2921,2895,1548,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,EARLY,171,0,0,0,0,0,HOUSE: 06,2020-10-24
06,Eielson/Denali/Upper Yukon/Border Region,QUESTIONED,0,0,0,0,0,0,HOUSE: 06,2020-10-24
07,Greater Wasilla,INPERSON,5,5,0,0,0,10,HOUSE: 07,2020-10-24
07,Greater Wasilla,MAIL,1072,6,4,2269,2245,1082,HOUSE: 07,2020-10-24
07,Greater Wasilla,ONLINE,45,0,0,195,185,45,HOUSE: 07,2020-10-24
07,Greater Wasilla,FAX,0,0,0,0,0,0,HOUSE: 07,2020-10-24
07,Greater Wasilla,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 07,2020-10-24
07,Greater Wasilla,FWAB,0,0,0,0,0,0,HOUSE: 07,2020-10-24
07,Greater Wasilla,AV TOTAL,1122,11,4,2464,2430,1137,HOUSE: 07,2020-10-24
07,Greater Wasilla,EARLY,1073,0,0,0,0,0,HOUSE: 07,2020-10-24
07,Greater Wasilla,QUESTIONED,0,0,0,0,0,0,HOUSE: 07,2020-10-24
08,Big Lake/Point Mackenzie,INPERSON,7,7,0,0,0,14,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,MAIL,1063,2,5,2232,2207,1070,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,ONLINE,40,0,0,172,160,40,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,FAX,0,0,0,0,0,0,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,FWAB,0,0,0,0,0,0,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,AV TOTAL,1110,9,5,2404,2367,1124,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,EARLY,805,0,0,0,0,0,HOUSE: 08,2020-10-24
08,Big Lake/Point Mackenzie,QUESTIONED,0,0,0,0,0,0,HOUSE: 08,2020-10-24
09,Richardson Hwy/East Mat-Su,INPERSON,44,3,0,0,0,47,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,MAIL,1301,2,5,2572,2542,1308,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,ONLINE,110,1,0,309,298,111,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,FAX,0,0,0,0,0,0,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,FWAB,0,0,0,0,0,0,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,AV TOTAL,1455,6,5,2881,2840,1466,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,EARLY,530,0,0,0,0,0,HOUSE: 09,2020-10-24
09,Richardson Hwy/East Mat-Su,QUESTIONED,0,0,0,0,0,0,HOUSE: 09,2020-10-24
10,Rural Mat-Su,INPERSON,169,10,1,0,0,180,HOUSE: 10,2020-10-24
10,Rural Mat-Su,MAIL,1294,0,1,2770,2746,1295,HOUSE: 10,2020-10-24
10,Rural Mat-Su,ONLINE,44,0,1,196,180,45,HOUSE: 10,2020-10-24
10,Rural Mat-Su,FAX,1,0,0,1,1,1,HOUSE: 10,2020-10-24
10,Rural Mat-Su,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 10,2020-10-24
10,Rural Mat-Su,FWAB,0,0,0,0,0,0,HOUSE: 10,2020-10-24
10,Rural Mat-Su,AV TOTAL,1510,10,3,2967,2927,1523,HOUSE: 10,2020-10-24
10,Rural Mat-Su,EARLY,681,0,0,0,0,0,HOUSE: 10,2020-10-24
10,Rural Mat-Su,QUESTIONED,0,0,0,0,0,0,HOUSE: 10,2020-10-24
11,Greater Palmer,INPERSON,6,19,0,0,0,25,HOUSE: 11,2020-10-24
11,Greater Palmer,MAIL,1348,2,8,2687,2653,1358,HOUSE: 11,2020-10-24
11,Greater Palmer,ONLINE,70,0,1,228,218,71,HOUSE: 11,2020-10-24
11,Greater Palmer,FAX,0,0,0,1,1,0,HOUSE: 11,2020-10-24
11,Greater Palmer,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 11,2020-10-24
11,Greater Palmer,FWAB,0,0,0,1,1,0,HOUSE: 11,2020-10-24
11,Greater Palmer,AV TOTAL,1424,21,9,2917,2873,1454,HOUSE: 11,2020-10-24
11,Greater Palmer,EARLY,1141,0,0,0,0,0,HOUSE: 11,2020-10-24
11,Greater Palmer,QUESTIONED,0,0,0,0,0,0,HOUSE: 11,2020-10-24
12,Chugiak/Gateway,INPERSON,69,10,1,0,0,79,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,MAIL,1486,2,7,3014,2997,1495,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,ONLINE,83,0,1,281,265,84,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,FAX,0,0,0,0,0,0,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,SPECIAL NEEDS,1,0,0,0,0,1,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,FWAB,0,0,0,0,0,0,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,AV TOTAL,1639,12,9,3295,3262,1659,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,EARLY,701,0,0,0,0,0,HOUSE: 12,2020-10-24
12,Chugiak/Gateway,QUESTIONED,0,0,0,0,0,0,HOUSE: 12,2020-10-24
13,Fort Richardson/North Eagle River,INPERSON,136,0,0,0,0,136,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,MAIL,1309,4,3,2654,2619,1316,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,ONLINE,300,4,4,815,809,308,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,FAX,1,0,0,3,3,1,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,FWAB,1,0,0,4,4,1,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,AV TOTAL,1747,8,7,3476,3435,1762,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,EARLY,145,0,0,0,0,0,HOUSE: 13,2020-10-24
13,Fort Richardson/North Eagle River,QUESTIONED,0,0,0,0,0,0,HOUSE: 13,2020-10-24
14,Eagle River/Chugach State Park,INPERSON,287,3,0,0,0,290,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,MAIL,2269,2,13,4412,4385,2284,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,ONLINE,257,1,1,781,770,259,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,FAX,1,0,0,1,1,1,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,SPECIAL NEEDS,0,2,0,0,0,2,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,FWAB,0,0,0,3,3,0,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,AV TOTAL,2814,8,14,5197,5159,2836,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,EARLY,197,0,0,0,0,0,HOUSE: 14,2020-10-24
14,Eagle River/Chugach State Park,QUESTIONED,0,0,0,0,0,0,HOUSE: 14,2020-10-24
15,Elmendorf,INPERSON,4,5,0,0,0,9,HOUSE: 15,2020-10-24
15,Elmendorf,MAIL,1021,3,7,2200,2177,1031,HOUSE: 15,2020-10-24
15,Elmendorf,ONLINE,179,1,1,524,512,181,HOUSE: 15,2020-10-24
15,Elmendorf,FAX,0,0,0,0,0,0,HOUSE: 15,2020-10-24
15,Elmendorf,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 15,2020-10-24
15,Elmendorf,FWAB,0,0,0,3,3,0,HOUSE: 15,2020-10-24
15,Elmendorf,AV TOTAL,1204,9,8,2727,2692,1221,HOUSE: 15,2020-10-24
15,Elmendorf,EARLY,233,0,0,0,0,0,HOUSE: 15,2020-10-24
15,Elmendorf,QUESTIONED,0,0,0,0,0,0,HOUSE: 15,2020-10-24
16,Anchorage - College Gate,INPERSON,8,7,0,0,0,15,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,MAIL,1787,4,7,3381,3359,1798,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,ONLINE,75,1,0,261,254,76,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,FAX,0,0,0,0,0,0,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,SPECIAL NEEDS,1,0,0,0,0,1,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,FWAB,0,0,0,1,1,0,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,AV TOTAL,1871,12,7,3643,3614,1890,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,EARLY,452,0,0,0,0,0,HOUSE: 16,2020-10-24
16,Anchorage - College Gate,QUESTIONED,0,0,0,0,0,0,HOUSE: 16,2020-10-24
17,Anchorage - University,INPERSON,3,7,0,0,0,10,HOUSE: 17,2020-10-24
17,Anchorage - University,MAIL,1575,16,3,3132,3101,1594,HOUSE: 17,2020-10-24
17,Anchorage - University,ONLINE,76,0,0,210,205,76,HOUSE: 17,2020-10-24
17,Anchorage - University,FAX,0,0,0,0,0,0,HOUSE: 17,2020-10-24
17,Anchorage - University,SPECIAL NEEDS,1,0,0,0,0,1,HOUSE: 17,2020-10-24
17,Anchorage - University,FWAB,0,0,0,3,2,0,HOUSE: 17,2020-10-24
17,Anchorage - University,AV TOTAL,1655,23,3,3345,3308,1681,HOUSE: 17,2020-10-24
17,Anchorage - University,EARLY,500,0,0,0,0,0,HOUSE: 17,2020-10-24
17,Anchorage - University,QUESTIONED,0,0,0,0,0,0,HOUSE: 17,2020-10-24
18,Anchorage - Spenard,INPERSON,5,12,0,0,0,17,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,MAIL,1887,12,16,3685,3654,1915,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,ONLINE,40,1,0,171,162,41,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,FAX,0,0,0,3,3,0,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,FWAB,0,0,0,0,0,0,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,AV TOTAL,1932,25,16,3859,3819,1973,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,EARLY,648,0,0,0,0,0,HOUSE: 18,2020-10-24
18,Anchorage - Spenard,QUESTIONED,0,0,0,0,0,0,HOUSE: 18,2020-10-24
19,Anchorage - Mountainview,INPERSON,8,4,0,0,0,12,HOUSE: 19,2020-10-24
19,Anchorage - Mountainview,MAIL,1064,7,4,2156,2136,1075,HOUSE: 19,2020-10-24
19,Anchorage - Mountainview,ONLINE,19,0,0,92,86,19,HOUSE: 19,2020-10-24
19,Anchorage - Mountainview,FAX,0,0,0,0,0,0,HOUSE: 19,2020-10-24
19,Anchorage - Mountainview,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 19,2020-10-24
19,Anchorage - Mountainview,FWAB,0,0,0,0,0,0,HOUSE: 19,2020-10-24
