district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,71,123,5,0,0,199,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,MAIL,1694,18,13,2141,2141,1725,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,ONLINE,219,18,3,337,337,240,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,SPECIAL NEEDS,57,3,1,0,0,61,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,FWAB,2,0,0,2,2,2,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,AV TOTAL,2043,162,22,2481,2481,2227,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,EARLY,1506,0,0,0,0,0,HOUSE: 01,2020-12-04
01,Downtown Fairbanks,QUESTIONED,128,231,7,0,0,0,HOUSE: 01,2020-12-04
02,Fairbanks/Wainwright,INPERSON,30,43,1,0,0,74,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,MAIL,1209,27,6,1491,1491,1242,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,ONLINE,407,27,7,595,595,441,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,SPECIAL NEEDS,20,3,0,0,0,23,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,FWAB,12,0,0,13,13,12,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,AV TOTAL,1678,100,14,2099,2099,1792,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,EARLY,938,0,0,0,0,0,HOUSE: 02,2020-12-04
02,Fairbanks/Wainwright,QUESTIONED,62,587,12,0,0,0,HOUSE: 02,2020-12-04
03,North Pole/Badger,INPERSON,37,34,0,0,0,71,HOUSE: 03,2020-12-04
03,North Pole/Badger,MAIL,1368,15,8,1688,1688,1391,HOUSE: 03,2020-12-04
03,North Pole/Badger,ONLINE,460,18,11,646,646,489,HOUSE: 03,2020-12-04
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-12-04
