district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,30,60,1,0,0,91,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,MAIL,1613,15,6,2139,2139,1634,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,ONLINE,162,10,1,337,337,173,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,SPECIAL NEEDS,37,0,0,0,0,37,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,AV TOTAL,1842,85,8,2479,2479,1935,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,EARLY,1506,0,0,0,0,0,HOUSE: 01,2020-11-04
01,Downtown Fairbanks,QUESTIONED,90,145,3,0,0,0,HOUSE: 01,2020-11-04
02,Fairbanks/Wainwright,INPERSON,9,26,0,0,0,35,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,MAIL,1149,21,4,1492,1492,1174,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,ONLINE,342,18,2,594,594,362,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,SPECIAL NEEDS,9,2,0,0,0,11,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,FWAB,0,0,0,9,9,0,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,AV TOTAL,1509,67,6,2095,2095,1582,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,EARLY,938,0,0,0,0,0,HOUSE: 02,2020-11-04
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-11-04
03,North Pole/Badger,INPERSON,6,26,0,0,0,32,HOUSE: 03,2020-11-04
03,North Pole/Badger,MAIL,1280,14,5,1692,1692,1299,HOUSE: 03,2020-11-04
03,North Pole/Badger,ONLINE,381,11,4,644,644,396,HOUSE: 03,2020-11-04
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-04
03,North Pole/Badger,SPECIAL NEEDS,7,0,0,0,0,7,HOUSE: 03,2020-11-04
03,North Pole/Badger,FWAB,0,0,0,5,5,0,HOUSE: 03,2020-11-04
