district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,66,123,5,0,0,194,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,MAIL,1694,18,13,2142,2142,1725,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,ONLINE,212,18,3,337,337,233,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,SPECIAL NEEDS,57,3,1,0,0,61,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,AV TOTAL,2029,162,22,2482,2482,2213,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,EARLY,1506,0,0,0,0,0,HOUSE: 01,2020-11-09
01,Downtown Fairbanks,QUESTIONED,127,231,8,0,0,0,HOUSE: 01,2020-11-09
02,Fairbanks/Wainwright,INPERSON,26,43,1,0,0,70,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,MAIL,1207,27,6,1493,1493,1240,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,ONLINE,402,27,4,594,594,433,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,SPECIAL NEEDS,20,3,0,0,0,23,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,FWAB,0,0,0,10,10,0,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,AV TOTAL,1655,100,11,2097,2097,1766,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,EARLY,938,0,0,0,0,0,HOUSE: 02,2020-11-09
02,Fairbanks/Wainwright,QUESTIONED,62,587,12,0,0,0,HOUSE: 02,2020-11-09
03,North Pole/Badger,INPERSON,27,33,0,0,0,60,HOUSE: 03,2020-11-09
03,North Pole/Badger,MAIL,1366,15,7,1692,1692,1388,HOUSE: 03,2020-11-09
03,North Pole/Badger,ONLINE,458,18,6,644,644,482,HOUSE: 03,2020-11-09
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-09
03,North Pole/Badger,SPECIAL NEEDS,12,1,0,0,0,13,HOUSE: 03,2020-11-09
03,North Pole/Badger,FWAB,0,0,0,5,5,0,HOUSE: 03,2020-11-09
