district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,7,12,0,0,0,19,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,MAIL,1127,2,3,2141,2141,1132,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,ONLINE,72,0,1,215,215,73,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,FAX,0,0,0,1,0,0,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,SPECIAL NEEDS,6,0,0,0,0,6,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,FWAB,0,0,0,0,0,0,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,AV TOTAL,1212,14,4,2357,2356,1230,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,EARLY,580,0,0,0,0,0,HOUSE: 01,2020-10-26
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-26
02,Fairbanks/Wainwright,INPERSON,0,2,0,0,0,2,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,MAIL,783,7,1,1500,1500,791,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,ONLINE,196,5,0,480,480,201,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,FWAB,0,0,0,5,5,0,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,AV TOTAL,981,14,1,1985,1985,996,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,EARLY,346,0,0,0,0,0,HOUSE: 02,2020-10-26
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-26
03,North Pole/Badger,INPERSON,0,2,0,0,0,2,HOUSE: 03,2020-10-26
03,North Pole/Badger,MAIL,852,5,3,1696,1696,860,HOUSE: 03,2020-10-26
03,North Pole/Badger,ONLINE,204,1,3,508,508,208,HOUSE: 03,2020-10-26
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-26
03,North Pole/Badger,SPECIAL NEEDS,3,0,0,0,0,3,HOUSE: 03,2020-10-26
03,North Pole/Badger,FWAB,0,0,0,1,1,0,HOUSE: 03,2020-10-26
