district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,70,123,5,0,0,198,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,MAIL,1694,18,13,2141,2141,1725,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,ONLINE,219,18,2,337,337,239,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,SPECIAL NEEDS,57,3,1,0,0,61,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,FWAB,2,0,0,2,2,2,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,AV TOTAL,2042,162,21,2481,2481,2225,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,EARLY,1506,0,0,0,0,0,HOUSE: 01,2020-11-16
01,Downtown Fairbanks,QUESTIONED,127,231,8,0,0,0,HOUSE: 01,2020-11-16
02,Fairbanks/Wainwright,INPERSON,30,43,1,0,0,74,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,MAIL,1207,27,6,1492,1492,1240,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,ONLINE,407,27,5,594,594,439,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,SPECIAL NEEDS,20,3,0,0,0,23,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,FWAB,11,0,0,12,12,11,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,AV TOTAL,1675,100,12,2098,2098,1787,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,EARLY,938,0,0,0,0,0,HOUSE: 02,2020-11-16
02,Fairbanks/Wainwright,QUESTIONED,62,587,12,0,0,0,HOUSE: 02,2020-11-16
03,North Pole/Badger,INPERSON,37,34,0,0,0,71,HOUSE: 03,2020-11-16
03,North Pole/Badger,MAIL,1367,15,7,1688,1688,1389,HOUSE: 03,2020-11-16
03,North Pole/Badger,ONLINE,460,18,10,644,644,488,HOUSE: 03,2020-11-16
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-16
03,North Pole/Badger,SPECIAL NEEDS,12,1,0,0,0,13,HOUSE: 03,2020-11-16
03,North Pole/Badger,FWAB,3,1,0,5,5,4,HOUSE: 03,2020-11-16
03,North Pole/Badger,AV TOTAL,1879,69,17,2337,2337,1965,HOUSE: 03,2020-11-16
03,North Pole/Badger,EARLY,1204,0,0,0,0,0,HOUSE: 03,2020-11-16
03,North Pole/Badger,QUESTIONED,116,165,4,0,0,0,HOUSE: 03,2020-11-16
04,Western Fairbanks,INPERSON,43,56,0,0,0,99,HOUSE: 04,2020-11-16
04,Western Fairbanks,MAIL,2767,24,10,3504,3504,2801,HOUSE: 04,2020-11-16
04,Western Fairbanks,ONLINE,310,9,4,431,431,323,HOUSE: 04,2020-11-16
04,Western Fairbanks,FAX,2,0,0,2,2,2,HOUSE: 04,2020-11-16
04,Western Fairbanks,SPECIAL NEEDS,11,3,1,0,0,15,HOUSE: 04,2020-11-16
04,Western Fairbanks,FWAB,1,0,1,4,4,2,HOUSE: 04,2020-11-16
04,Western Fairbanks,AV TOTAL,3134,92,16,3941,3941,3242,HOUSE: 04,2020-11-16
04,Western Fairbanks,EARLY,2419,0,0,0,0,0,HOUSE: 04,2020-11-16
04,Western Fairbanks,QUESTIONED,67,185,3,0,0,0,HOUSE: 04,2020-11-16
05,Chena Ridge/Airport,INPERSON,49,67,1,0,0,117,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,MAIL,2144,30,10,2708,2708,2184,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,ONLINE,273,16,6,393,393,295,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,FAX,1,0,0,1,1,1,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,SPECIAL NEEDS,19,2,0,0,0,21,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,FWAB,0,0,0,2,2,0,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,AV TOTAL,2486,115,17,3104,3104,2618,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,EARLY,1952,0,0,0,0,0,HOUSE: 05,2020-11-16
05,Chena Ridge/Airport,QUESTIONED,53,214,4,0,0,0,HOUSE: 05,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,INPERSON,498,51,5,0,0,554,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,MAIL,2022,18,6,2405,2405,2046,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,ONLINE,479,19,7,650,650,505,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,FAX,0,0,0,0,0,0,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,SPECIAL NEEDS,43,4,4,0,0,51,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,FWAB,3,0,0,4,4,3,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,AV TOTAL,3045,92,22,3059,3059,3159,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,EARLY,567,0,0,0,0,0,HOUSE: 06,2020-11-16
06,Eielson/Denali/Upper Yukon/Border Region,QUESTIONED,91,471,25,0,0,0,HOUSE: 06,2020-11-16
07,Greater Wasilla,INPERSON,95,105,2,0,0,202,HOUSE: 07,2020-11-16
07,Greater Wasilla,MAIL,1774,32,15,2272,2272,1821,HOUSE: 07,2020-11-16
07,Greater Wasilla,ONLINE,202,13,4,352,352,219,HOUSE: 07,2020-11-16
07,Greater Wasilla,FAX,1,0,0,1,1,1,HOUSE: 07,2020-11-16
07,Greater Wasilla,SPECIAL NEEDS,32,16,0,0,0,48,HOUSE: 07,2020-11-16
07,Greater Wasilla,FWAB,1,0,4,3,3,5,HOUSE: 07,2020-11-16
07,Greater Wasilla,AV TOTAL,2105,166,25,2628,2628,2296,HOUSE: 07,2020-11-16
07,Greater Wasilla,EARLY,3407,0,0,0,0,0,HOUSE: 07,2020-11-16
07,Greater Wasilla,QUESTIONED,69,255,3,0,0,0,HOUSE: 07,2020-11-16
08,Big Lake/Point Mackenzie,INPERSON,95,92,1,0,0,188,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,MAIL,1817,18,15,2235,2235,1850,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,ONLINE,199,10,5,340,340,214,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,FAX,0,0,0,0,0,0,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,SPECIAL NEEDS,34,1,0,0,0,35,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,FWAB,0,0,0,0,0,0,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,AV TOTAL,2145,121,21,2575,2575,2287,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,EARLY,2213,0,0,0,0,0,HOUSE: 08,2020-11-16
08,Big Lake/Point Mackenzie,QUESTIONED,209,213,7,0,0,0,HOUSE: 08,2020-11-16
09,Richardson Hwy/East Mat-Su,INPERSON,825,82,2,0,0,909,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,MAIL,2102,17,20,2572,2572,2139,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,ONLINE,349,11,5,491,491,365,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,FAX,4,0,0,4,4,4,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,SPECIAL NEEDS,27,2,1,0,0,30,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,FWAB,3,1,0,5,5,4,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,AV TOTAL,3310,113,28,3072,3072,3451,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,EARLY,1559,0,0,0,0,0,HOUSE: 09,2020-11-16
09,Richardson Hwy/East Mat-Su,QUESTIONED,125,205,7,0,0,0,HOUSE: 09,2020-11-16
10,Rural Mat-Su,INPERSON,957,225,3,0,0,1185,HOUSE: 10,2020-11-16
10,Rural Mat-Su,MAIL,2240,33,8,2767,2767,2281,HOUSE: 10,2020-11-16
10,Rural Mat-Su,ONLINE,226,8,6,339,339,240,HOUSE: 10,2020-11-16
10,Rural Mat-Su,FAX,9,0,0,9,9,9,HOUSE: 10,2020-11-16
10,Rural Mat-Su,SPECIAL NEEDS,35,2,2,0,0,39,HOUSE: 10,2020-11-16
10,Rural Mat-Su,FWAB,0,0,3,3,3,3,HOUSE: 10,2020-11-16
10,Rural Mat-Su,AV TOTAL,3467,268,22,3118,3118,3757,HOUSE: 10,2020-11-16
10,Rural Mat-Su,EARLY,2006,0,0,0,0,0,HOUSE: 10,2020-11-16
10,Rural Mat-Su,QUESTIONED,107,256,6,0,0,0,HOUSE: 10,2020-11-16
11,Greater Palmer,INPERSON,76,89,1,0,0,166,HOUSE: 11,2020-11-16
11,Greater Palmer,MAIL,2196,30,19,2687,2687,2245,HOUSE: 11,2020-11-16
11,Greater Palmer,ONLINE,254,20,5,384,384,279,HOUSE: 11,2020-11-16
11,Greater Palmer,FAX,1,0,0,1,1,1,HOUSE: 11,2020-11-16
11,Greater Palmer,SPECIAL NEEDS,22,6,2,0,0,30,HOUSE: 11,2020-11-16
11,Greater Palmer,FWAB,2,1,0,3,3,3,HOUSE: 11,2020-11-16
11,Greater Palmer,AV TOTAL,2551,146,27,3075,3075,2724,HOUSE: 11,2020-11-16
11,Greater Palmer,EARLY,3303,0,0,0,0,0,HOUSE: 11,2020-11-16
11,Greater Palmer,QUESTIONED,91,267,5,0,0,0,HOUSE: 11,2020-11-16
12,Chugiak/Gateway,INPERSON,605,166,2,0,0,773,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,MAIL,2505,22,14,3030,3030,2541,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,ONLINE,294,19,9,452,452,322,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,FAX,3,0,0,3,3,3,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,SPECIAL NEEDS,24,2,0,0,0,26,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,FWAB,0,0,0,0,0,0,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,AV TOTAL,3431,209,25,3485,3485,3665,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,EARLY,2127,0,0,0,0,0,HOUSE: 12,2020-11-16
12,Chugiak/Gateway,QUESTIONED,75,192,2,0,0,0,HOUSE: 12,2020-11-16
13,Fort Richardson/North Eagle River,INPERSON,910,71,0,0,0,981,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,MAIL,2241,40,11,2657,2657,2292,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,ONLINE,714,30,13,990,990,757,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,FAX,1,0,0,3,3,1,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,SPECIAL NEEDS,13,10,0,0,0,23,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,FWAB,8,1,5,16,16,14,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,AV TOTAL,3887,152,29,3666,3666,4068,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,EARLY,432,0,0,0,0,0,HOUSE: 13,2020-11-16
13,Fort Richardson/North Eagle River,QUESTIONED,42,296,4,0,0,0,HOUSE: 13,2020-11-16
14,Eagle River/Chugach State Park,INPERSON,1994,55,4,0,0,2053,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,MAIL,3842,41,24,4431,4431,3907,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,ONLINE,720,24,6,957,957,750,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,FAX,3,0,0,3,3,3,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,SPECIAL NEEDS,12,3,0,0,0,15,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,FWAB,8,1,1,12,12,10,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,AV TOTAL,6579,124,35,5403,5403,6738,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,EARLY,580,0,0,0,0,0,HOUSE: 14,2020-11-16
14,Eagle River/Chugach State Park,QUESTIONED,66,141,2,0,0,0,HOUSE: 14,2020-11-16
15,Elmendorf,INPERSON,146,73,0,0,0,219,HOUSE: 15,2020-11-16
15,Elmendorf,MAIL,1745,19,14,2205,2205,1778,HOUSE: 15,2020-11-16
15,Elmendorf,ONLINE,458,36,6,678,678,500,HOUSE: 15,2020-11-16
15,Elmendorf,FAX,0,0,0,0,0,0,HOUSE: 15,2020-11-16
15,Elmendorf,SPECIAL NEEDS,13,1,0,0,0,14,HOUSE: 15,2020-11-16
15,Elmendorf,FWAB,4,2,3,10,10,9,HOUSE: 15,2020-11-16
15,Elmendorf,AV TOTAL,2366,131,23,2893,2893,2520,HOUSE: 15,2020-11-16
15,Elmendorf,EARLY,724,0,0,0,0,0,HOUSE: 15,2020-11-16
15,Elmendorf,QUESTIONED,51,301,6,0,0,0,HOUSE: 15,2020-11-16
16,Anchorage - College Gate,INPERSON,226,87,1,0,0,314,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,MAIL,2793,34,16,3396,3396,2843,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,ONLINE,241,16,4,395,395,261,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,FAX,0,0,0,0,0,0,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,SPECIAL NEEDS,20,2,0,0,0,22,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,FWAB,2,1,0,3,3,3,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,AV TOTAL,3282,140,21,3794,3794,3443,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,EARLY,1261,0,0,0,0,0,HOUSE: 16,2020-11-16
16,Anchorage - College Gate,QUESTIONED,51,250,4,0,0,0,HOUSE: 16,2020-11-16
17,Anchorage - University,INPERSON,142,112,0,0,0,254,HOUSE: 17,2020-11-16
17,Anchorage - University,MAIL,2526,47,10,3133,3133,2583,HOUSE: 17,2020-11-16
17,Anchorage - University,ONLINE,188,24,3,319,319,215,HOUSE: 17,2020-11-16
17,Anchorage - University,FAX,1,1,0,3,3,2,HOUSE: 17,2020-11-16
17,Anchorage - University,SPECIAL NEEDS,12,15,1,0,0,28,HOUSE: 17,2020-11-16
17,Anchorage - University,FWAB,3,1,0,4,4,4,HOUSE: 17,2020-11-16
17,Anchorage - University,AV TOTAL,2872,200,14,3459,3459,3086,HOUSE: 17,2020-11-16
17,Anchorage - University,EARLY,1418,0,0,0,0,0,HOUSE: 17,2020-11-16
17,Anchorage - University,QUESTIONED,51,274,6,0,0,0,HOUSE: 17,2020-11-16
18,Anchorage - Spenard,INPERSON,93,135,4,0,0,232,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,MAIL,2934,40,32,3686,3686,3006,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,ONLINE,180,21,4,300,300,205,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,FAX,2,0,0,3,3,2,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,SPECIAL NEEDS,22,1,0,0,0,23,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,FWAB,2,0,0,2,2,2,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,AV TOTAL,3233,197,40,3991,3991,3470,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,EARLY,1751,0,0,0,0,0,HOUSE: 18,2020-11-16
18,Anchorage - Spenard,QUESTIONED,75,257,4,0,0,0,HOUSE: 18,2020-11-16
19,Anchorage - Mountainview,INPERSON,249,80,3,0,0,332,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,MAIL,1708,19,8,2165,2165,1735,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,ONLINE,77,8,0,158,158,85,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,FAX,2,0,0,3,3,2,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,SPECIAL NEEDS,10,1,0,0,0,11,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,FWAB,0,0,0,0,0,0,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,AV TOTAL,2046,108,11,2326,2326,2165,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,EARLY,791,0,0,0,0,0,HOUSE: 19,2020-11-16
19,Anchorage - Mountainview,QUESTIONED,88,165,6,0,0,0,HOUSE: 19,2020-11-16
