district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,22,43,1,0,0,66,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,MAIL,1544,14,6,2139,2139,1564,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,ONLINE,130,4,1,316,316,135,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,SPECIAL NEEDS,23,0,0,0,0,23,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,AV TOTAL,1719,61,8,2458,2458,1788,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,EARLY,1189,0,0,0,0,0,HOUSE: 01,2020-11-01
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-11-01
02,Fairbanks/Wainwright,INPERSON,4,15,0,0,0,19,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,MAIL,1089,20,4,1493,1493,1113,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,ONLINE,296,10,2,569,569,308,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,SPECIAL NEEDS,6,2,0,0,0,8,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,FWAB,0,0,0,8,8,0,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,AV TOTAL,1395,47,6,2070,2070,1448,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,EARLY,803,0,0,0,0,0,HOUSE: 02,2020-11-01
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-11-01
03,North Pole/Badger,INPERSON,3,13,0,0,0,16,HOUSE: 03,2020-11-01
03,North Pole/Badger,MAIL,1181,11,3,1692,1692,1195,HOUSE: 03,2020-11-01
03,North Pole/Badger,ONLINE,294,6,2,614,614,302,HOUSE: 03,2020-11-01
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-01
03,North Pole/Badger,SPECIAL NEEDS,5,0,0,0,0,5,HOUSE: 03,2020-11-01
03,North Pole/Badger,FWAB,0,0,0,5,5,0,HOUSE: 03,2020-11-01
03,North Pole/Badger,AV TOTAL,1483,30,5,2311,2311,1518,HOUSE: 03,2020-11-01
03,North Pole/Badger,EARLY,1010,0,0,0,0,0,HOUSE: 03,2020-11-01
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-11-01
04,Western Fairbanks,INPERSON,15,28,0,0,0,43,HOUSE: 04,2020-11-01
04,Western Fairbanks,MAIL,2531,17,6,3505,3505,2554,HOUSE: 04,2020-11-01
04,Western Fairbanks,ONLINE,200,3,2,404,404,205,HOUSE: 04,2020-11-01
04,Western Fairbanks,FAX,1,0,0,1,1,1,HOUSE: 04,2020-11-01
04,Western Fairbanks,SPECIAL NEEDS,2,1,0,0,0,3,HOUSE: 04,2020-11-01
04,Western Fairbanks,FWAB,0,0,0,3,3,0,HOUSE: 04,2020-11-01
04,Western Fairbanks,AV TOTAL,2749,49,8,3913,3913,2806,HOUSE: 04,2020-11-01
04,Western Fairbanks,EARLY,2057,0,0,0,0,0,HOUSE: 04,2020-11-01
04,Western Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 04,2020-11-01
05,Chena Ridge/Airport,INPERSON,11,24,0,0,0,35,HOUSE: 05,2020-11-01
05,Chena Ridge/Airport,MAIL,1894,22,6,2712,2712,1922,HOUSE: 05,2020-11-01
