district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,5,5,0,0,0,10,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,MAIL,1028,0,3,2117,2117,1031,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,ONLINE,68,0,1,185,185,69,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,FAX,0,0,0,1,0,0,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,SPECIAL NEEDS,6,0,0,0,0,6,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,FWAB,0,0,0,0,0,0,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,AV TOTAL,1107,5,4,2303,2302,1116,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,EARLY,336,0,0,0,0,0,HOUSE: 01,2020-10-23
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-23
02,Fairbanks/Wainwright,INPERSON,0,0,0,0,0,0,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,MAIL,701,4,1,1486,1486,706,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,ONLINE,178,4,0,451,451,182,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,FWAB,0,0,0,1,1,0,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,AV TOTAL,881,8,1,1938,1938,890,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,EARLY,220,0,0,0,0,0,HOUSE: 02,2020-10-23
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-23
03,North Pole/Badger,INPERSON,0,1,0,0,0,1,HOUSE: 03,2020-10-23
03,North Pole/Badger,MAIL,762,3,2,1674,1674,767,HOUSE: 03,2020-10-23
03,North Pole/Badger,ONLINE,187,0,2,460,460,189,HOUSE: 03,2020-10-23
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-23
03,North Pole/Badger,SPECIAL NEEDS,3,0,0,0,0,3,HOUSE: 03,2020-10-23
03,North Pole/Badger,FWAB,0,0,0,1,1,0,HOUSE: 03,2020-10-23
03,North Pole/Badger,AV TOTAL,952,4,4,2135,2135,960,HOUSE: 03,2020-10-23
03,North Pole/Badger,EARLY,256,0,0,0,0,0,HOUSE: 03,2020-10-23
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-10-23
04,Western Fairbanks,INPERSON,2,3,0,0,0,5,HOUSE: 04,2020-10-23
04,Western Fairbanks,MAIL,1717,5,3,3476,3476,1725,HOUSE: 04,2020-10-23
04,Western Fairbanks,ONLINE,88,0,0,259,259,88,HOUSE: 04,2020-10-23
04,Western Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 04,2020-10-23
04,Western Fairbanks,SPECIAL NEEDS,1,0,0,0,0,1,HOUSE: 04,2020-10-23
04,Western Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 04,2020-10-23
04,Western Fairbanks,AV TOTAL,1808,8,3,3738,3738,1819,HOUSE: 04,2020-10-23
04,Western Fairbanks,EARLY,671,0,0,0,0,0,HOUSE: 04,2020-10-23
04,Western Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 04,2020-10-23
05,Chena Ridge/Airport,INPERSON,1,1,1,0,0,3,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,MAIL,1250,7,5,2694,2694,1262,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,ONLINE,86,0,0,236,236,86,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,FAX,0,0,0,0,0,0,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,FWAB,0,0,0,1,1,0,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,AV TOTAL,1337,8,6,2931,2931,1351,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,EARLY,510,0,0,0,0,0,HOUSE: 05,2020-10-23
05,Chena Ridge/Airport,QUESTIONED,0,0,0,0,0,0,HOUSE: 05,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,INPERSON,4,4,0,0,0,8,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,MAIL,1268,2,1,2398,2398,1271,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,ONLINE,175,1,0,483,481,176,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,FAX,0,0,0,0,0,0,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,SPECIAL NEEDS,0,0,0,0,0,0,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,FWAB,0,0,0,1,1,0,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,AV TOTAL,1447,7,1,2882,2880,1455,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,EARLY,135,0,0,0,0,0,HOUSE: 06,2020-10-23
06,Eielson/Denali/Upper Yukon/Border Region,QUESTIONED,0,0,0,0,0,0,HOUSE: 06,2020-10-23
07,Greater Wasilla,INPERSON,5,1,0,0,0,6,HOUSE: 07,2020-10-23
07,Greater Wasilla,MAIL,926,4,4,2245,2245,934,HOUSE: 07,2020-10-23
