district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,22,43,1,0,0,66,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,MAIL,1544,14,6,2139,2139,1564,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,ONLINE,130,4,1,318,316,135,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,SPECIAL NEEDS,30,0,0,0,0,30,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,AV TOTAL,1726,61,8,2460,2458,1795,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,EARLY,1235,0,0,0,0,0,HOUSE: 01,2020-11-02
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-11-02
02,Fairbanks/Wainwright,INPERSON,4,15,0,0,0,19,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,MAIL,1089,20,4,1493,1493,1113,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,ONLINE,296,10,2,573,569,308,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,SPECIAL NEEDS,6,2,0,0,0,8,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,FWAB,0,0,0,8,8,0,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,AV TOTAL,1395,47,6,2074,2070,1448,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,EARLY,821,0,0,0,0,0,HOUSE: 02,2020-11-02
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-11-02
03,North Pole/Badger,INPERSON,3,16,0,0,0,19,HOUSE: 03,2020-11-02
03,North Pole/Badger,MAIL,1202,11,3,1692,1692,1216,HOUSE: 03,2020-11-02
03,North Pole/Badger,ONLINE,329,8,2,616,614,339,HOUSE: 03,2020-11-02
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-02
03,North Pole/Badger,SPECIAL NEEDS,7,0,0,0,0,7,HOUSE: 03,2020-11-02
03,North Pole/Badger,FWAB,0,0,0,5,5,0,HOUSE: 03,2020-11-02
03,North Pole/Badger,AV TOTAL,1541,35,5,2313,2311,1581,HOUSE: 03,2020-11-02
03,North Pole/Badger,EARLY,1045,0,0,0,0,0,HOUSE: 03,2020-11-02
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-11-02
04,Western Fairbanks,INPERSON,15,28,0,0,0,43,HOUSE: 04,2020-11-02
04,Western Fairbanks,MAIL,2531,17,6,3505,3505,2554,HOUSE: 04,2020-11-02
04,Western Fairbanks,ONLINE,200,3,2,408,404,205,HOUSE: 04,2020-11-02
04,Western Fairbanks,FAX,1,0,0,1,1,1,HOUSE: 04,2020-11-02
04,Western Fairbanks,SPECIAL NEEDS,2,1,0,0,0,3,HOUSE: 04,2020-11-02
04,Western Fairbanks,FWAB,0,0,0,3,3,0,HOUSE: 04,2020-11-02
04,Western Fairbanks,AV TOTAL,2749,49,8,3917,3913,2806,HOUSE: 04,2020-11-02
04,Western Fairbanks,EARLY,2103,0,0,0,0,0,HOUSE: 04,2020-11-02
04,Western Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 04,2020-11-02
05,Chena Ridge/Airport,INPERSON,12,26,0,0,0,38,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,MAIL,1894,22,6,2712,2712,1922,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,ONLINE,177,6,0,380,379,183,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,FAX,0,0,0,1,1,0,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,SPECIAL NEEDS,5,0,0,0,0,5,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,FWAB,0,0,0,2,2,0,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,AV TOTAL,2088,54,6,3095,3094,2148,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,EARLY,1642,0,0,0,0,0,HOUSE: 05,2020-11-02
05,Chena Ridge/Airport,QUESTIONED,0,0,0,0,0,0,HOUSE: 05,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,INPERSON,226,15,2,0,0,243,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,MAIL,1820,9,3,2408,2408,1832,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,ONLINE,345,12,1,633,633,358,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,FAX,0,0,0,0,0,0,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,FWAB,0,0,0,2,2,0,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,AV TOTAL,2393,36,6,3043,3043,2435,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,EARLY,484,0,0,0,0,0,HOUSE: 06,2020-11-02
06,Eielson/Denali/Upper Yukon/Border Region,QUESTIONED,0,0,0,0,0,0,HOUSE: 06,2020-11-02
07,Greater Wasilla,INPERSON,28,47,1,0,0,76,HOUSE: 07,2020-11-02
07,Greater Wasilla,MAIL,1555,22,7,2274,2274,1584,HOUSE: 07,2020-11-02
07,Greater Wasilla,ONLINE,124,4,2,327,323,130,HOUSE: 07,2020-11-02
07,Greater Wasilla,FAX,0,0,0,1,0,0,HOUSE: 07,2020-11-02
07,Greater Wasilla,SPECIAL NEEDS,7,1,0,0,0,8,HOUSE: 07,2020-11-02
07,Greater Wasilla,FWAB,0,0,0,1,1,0,HOUSE: 07,2020-11-02
07,Greater Wasilla,AV TOTAL,1714,74,10,2603,2598,1798,HOUSE: 07,2020-11-02
07,Greater Wasilla,EARLY,2789,0,0,0,0,0,HOUSE: 07,2020-11-02
07,Greater Wasilla,QUESTIONED,0,0,0,0,0,0,HOUSE: 07,2020-11-02
08,Big Lake/Point Mackenzie,INPERSON,20,43,0,0,0,63,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,MAIL,1611,13,7,2236,2236,1631,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,ONLINE,100,4,1,315,313,105,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,FAX,0,0,0,0,0,0,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,SPECIAL NEEDS,5,0,0,0,0,5,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,FWAB,0,0,0,0,0,0,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,AV TOTAL,1736,60,8,2551,2549,1804,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,EARLY,1928,0,0,0,0,0,HOUSE: 08,2020-11-02
08,Big Lake/Point Mackenzie,QUESTIONED,0,0,0,0,0,0,HOUSE: 08,2020-11-02
09,Richardson Hwy/East Mat-Su,INPERSON,417,26,1,0,0,444,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,MAIL,1840,7,9,2574,2574,1856,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,ONLINE,179,2,1,450,445,182,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,FAX,0,0,0,4,4,0,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,SPECIAL NEEDS,8,0,1,0,0,9,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,FWAB,0,0,0,1,1,0,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,AV TOTAL,2444,35,12,3029,3024,2491,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,EARLY,1382,0,0,0,0,0,HOUSE: 09,2020-11-02
09,Richardson Hwy/East Mat-Su,QUESTIONED,0,0,0,0,0,0,HOUSE: 09,2020-11-02
10,Rural Mat-Su,INPERSON,635,100,2,0,0,737,HOUSE: 10,2020-11-02
10,Rural Mat-Su,MAIL,2009,14,9,2772,2772,2032,HOUSE: 10,2020-11-02
10,Rural Mat-Su,ONLINE,134,4,2,309,308,140,HOUSE: 10,2020-11-02
10,Rural Mat-Su,FAX,5,0,0,8,8,5,HOUSE: 10,2020-11-02
10,Rural Mat-Su,SPECIAL NEEDS,12,0,0,0,0,12,HOUSE: 10,2020-11-02
10,Rural Mat-Su,FWAB,0,0,0,1,1,0,HOUSE: 10,2020-11-02
10,Rural Mat-Su,AV TOTAL,2795,118,13,3090,3089,2926,HOUSE: 10,2020-11-02
10,Rural Mat-Su,EARLY,1703,0,0,0,0,0,HOUSE: 10,2020-11-02
10,Rural Mat-Su,QUESTIONED,0,0,0,0,0,0,HOUSE: 10,2020-11-02
11,Greater Palmer,INPERSON,28,52,0,0,0,80,HOUSE: 11,2020-11-02
11,Greater Palmer,MAIL,1976,13,14,2689,2689,2003,HOUSE: 11,2020-11-02
11,Greater Palmer,ONLINE,141,11,1,357,354,153,HOUSE: 11,2020-11-02
11,Greater Palmer,FAX,1,0,0,1,1,1,HOUSE: 11,2020-11-02
11,Greater Palmer,SPECIAL NEEDS,2,1,0,0,0,3,HOUSE: 11,2020-11-02
11,Greater Palmer,FWAB,0,0,0,3,3,0,HOUSE: 11,2020-11-02
11,Greater Palmer,AV TOTAL,2148,77,15,3050,3047,2240,HOUSE: 11,2020-11-02
11,Greater Palmer,EARLY,2895,0,0,0,0,0,HOUSE: 11,2020-11-02
11,Greater Palmer,QUESTIONED,0,0,0,0,0,0,HOUSE: 11,2020-11-02
12,Chugiak/Gateway,INPERSON,440,83,2,0,0,525,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,MAIL,2183,11,11,3032,3032,2205,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,ONLINE,173,8,0,423,420,181,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,FAX,2,0,0,2,2,2,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,SPECIAL NEEDS,6,0,0,0,0,6,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,FWAB,0,0,0,0,0,0,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,AV TOTAL,2804,102,13,3457,3454,2919,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,EARLY,1907,0,0,0,0,0,HOUSE: 12,2020-11-02
12,Chugiak/Gateway,QUESTIONED,0,0,0,0,0,0,HOUSE: 12,2020-11-02
13,Fort Richardson/North Eagle River,INPERSON,683,35,0,0,0,718,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,MAIL,1979,22,6,2659,2659,2007,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,ONLINE,511,13,6,966,963,530,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,FAX,1,0,0,3,3,1,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,SPECIAL NEEDS,3,1,0,0,0,4,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,FWAB,2,0,0,12,12,2,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,AV TOTAL,3179,71,12,3640,3637,3262,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,EARLY,384,0,0,0,0,0,HOUSE: 13,2020-11-02
13,Fort Richardson/North Eagle River,QUESTIONED,0,0,0,0,0,0,HOUSE: 13,2020-11-02
14,Eagle River/Chugach State Park,INPERSON,970,19,3,0,0,992,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,MAIL,3184,20,16,4435,4435,3220,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,ONLINE,418,5,1,928,919,424,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,FAX,1,0,0,3,3,1,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,SPECIAL NEEDS,1,2,0,0,0,3,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,FWAB,2,0,0,10,10,2,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,AV TOTAL,4576,46,20,5376,5367,4642,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,EARLY,511,0,0,0,0,0,HOUSE: 14,2020-11-02
14,Eagle River/Chugach State Park,QUESTIONED,0,0,0,0,0,0,HOUSE: 14,2020-11-02
15,Elmendorf,INPERSON,56,33,0,0,0,89,HOUSE: 15,2020-11-02
15,Elmendorf,MAIL,1525,12,12,2209,2209,1549,HOUSE: 15,2020-11-02
15,Elmendorf,ONLINE,325,14,1,652,650,339,HOUSE: 15,2020-11-02
15,Elmendorf,FAX,0,0,0,0,0,0,HOUSE: 15,2020-11-02
15,Elmendorf,SPECIAL NEEDS,2,1,0,0,0,3,HOUSE: 15,2020-11-02
15,Elmendorf,FWAB,2,1,0,6,6,3,HOUSE: 15,2020-11-02
15,Elmendorf,AV TOTAL,1910,61,13,2867,2865,1983,HOUSE: 15,2020-11-02
15,Elmendorf,EARLY,600,0,0,0,0,0,HOUSE: 15,2020-11-02
15,Elmendorf,QUESTIONED,0,0,0,0,0,0,HOUSE: 15,2020-11-02
16,Anchorage - College Gate,INPERSON,145,39,0,0,0,184,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,MAIL,2554,23,10,3399,3399,2587,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,ONLINE,147,8,0,375,373,155,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,FAX,0,0,0,0,0,0,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,SPECIAL NEEDS,5,0,0,0,0,5,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,FWAB,1,0,0,2,2,1,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,AV TOTAL,2852,70,10,3776,3774,2932,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,EARLY,1072,0,0,0,0,0,HOUSE: 16,2020-11-02
16,Anchorage - College Gate,QUESTIONED,0,0,0,0,0,0,HOUSE: 16,2020-11-02
17,Anchorage - University,INPERSON,54,42,0,0,0,96,HOUSE: 17,2020-11-02
17,Anchorage - University,MAIL,2293,40,4,3135,3135,2337,HOUSE: 17,2020-11-02
17,Anchorage - University,ONLINE,116,1,0,300,296,117,HOUSE: 17,2020-11-02
17,Anchorage - University,FAX,0,1,0,3,3,1,HOUSE: 17,2020-11-02
17,Anchorage - University,SPECIAL NEEDS,2,0,0,0,0,2,HOUSE: 17,2020-11-02
17,Anchorage - University,FWAB,1,1,0,4,4,2,HOUSE: 17,2020-11-02
17,Anchorage - University,AV TOTAL,2466,85,4,3442,3438,2555,HOUSE: 17,2020-11-02
17,Anchorage - University,EARLY,1170,0,0,0,0,0,HOUSE: 17,2020-11-02
17,Anchorage - University,QUESTIONED,0,0,0,0,0,0,HOUSE: 17,2020-11-02
18,Anchorage - Spenard,INPERSON,43,60,2,0,0,105,HOUSE: 18,2020-11-02
18,Anchorage - Spenard,MAIL,2688,30,20,3692,3692,2738,HOUSE: 18,2020-11-02
18,Anchorage - Spenard,ONLINE,107,5,0,279,273,112,HOUSE: 18,2020-11-02
18,Anchorage - Spenard,FAX,1,0,0,3,3,1,HOUSE: 18,2020-11-02
