district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,70,123,5,0,0,198,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,MAIL,1694,18,13,2141,2141,1725,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,ONLINE,217,18,2,337,337,237,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,SPECIAL NEEDS,57,3,1,0,0,61,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,FWAB,0,0,0,2,2,0,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,AV TOTAL,2038,162,21,2481,2481,2221,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,EARLY,1506,0,0,0,0,0,HOUSE: 01,2020-11-12
01,Downtown Fairbanks,QUESTIONED,127,231,8,0,0,0,HOUSE: 01,2020-11-12
02,Fairbanks/Wainwright,INPERSON,30,43,1,0,0,74,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,MAIL,1207,27,6,1493,1493,1240,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,ONLINE,406,27,5,594,594,438,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,SPECIAL NEEDS,20,3,0,0,0,23,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,FWAB,0,0,0,10,10,0,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,AV TOTAL,1663,100,12,2097,2097,1775,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,EARLY,938,0,0,0,0,0,HOUSE: 02,2020-11-12
02,Fairbanks/Wainwright,QUESTIONED,62,587,12,0,0,0,HOUSE: 02,2020-11-12
03,North Pole/Badger,INPERSON,37,34,0,0,0,71,HOUSE: 03,2020-11-12
03,North Pole/Badger,MAIL,1367,15,7,1688,1688,1389,HOUSE: 03,2020-11-12
03,North Pole/Badger,ONLINE,459,18,8,644,644,485,HOUSE: 03,2020-11-12
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-11-12
03,North Pole/Badger,SPECIAL NEEDS,12,1,0,0,0,13,HOUSE: 03,2020-11-12
03,North Pole/Badger,FWAB,0,0,0,5,5,0,HOUSE: 03,2020-11-12
03,North Pole/Badger,AV TOTAL,1875,68,15,2337,2337,1958,HOUSE: 03,2020-11-12
03,North Pole/Badger,EARLY,1204,0,0,0,0,0,HOUSE: 03,2020-11-12
03,North Pole/Badger,QUESTIONED,116,165,4,0,0,0,HOUSE: 03,2020-11-12
04,Western Fairbanks,INPERSON,43,56,0,0,0,99,HOUSE: 04,2020-11-12
04,Western Fairbanks,MAIL,2766,24,10,3504,3504,2800,HOUSE: 04,2020-11-12
04,Western Fairbanks,ONLINE,310,9,4,431,431,323,HOUSE: 04,2020-11-12
04,Western Fairbanks,FAX,2,0,0,2,2,2,HOUSE: 04,2020-11-12
04,Western Fairbanks,SPECIAL NEEDS,11,3,1,0,0,15,HOUSE: 04,2020-11-12
04,Western Fairbanks,FWAB,0,0,0,3,3,0,HOUSE: 04,2020-11-12
04,Western Fairbanks,AV TOTAL,3132,92,15,3940,3940,3239,HOUSE: 04,2020-11-12
04,Western Fairbanks,EARLY,2419,0,0,0,0,0,HOUSE: 04,2020-11-12
04,Western Fairbanks,QUESTIONED,67,185,3,0,0,0,HOUSE: 04,2020-11-12
05,Chena Ridge/Airport,INPERSON,49,67,1,0,0,117,HOUSE: 05,2020-11-12
05,Chena Ridge/Airport,MAIL,2142,30,9,2709,2709,2181,HOUSE: 05,2020-11-12
