district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,14,30,1,0,0,45,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,MAIL,1367,3,6,2140,2140,1376,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,ONLINE,100,2,1,286,286,103,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,SPECIAL NEEDS,20,0,0,0,0,20,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,FWAB,0,0,0,1,1,0,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,AV TOTAL,1501,35,8,2428,2428,1544,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,EARLY,968,0,0,0,0,0,HOUSE: 01,2020-10-30
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-30
02,Fairbanks/Wainwright,INPERSON,4,12,0,0,0,16,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,MAIL,973,14,3,1497,1497,990,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,ONLINE,261,9,2,542,542,272,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,SPECIAL NEEDS,5,2,0,0,0,7,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,FWAB,0,0,0,6,6,0,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,AV TOTAL,1243,37,5,2045,2045,1285,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,EARLY,638,0,0,0,0,0,HOUSE: 02,2020-10-30
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-30
03,North Pole/Badger,INPERSON,3,9,0,0,0,12,HOUSE: 03,2020-10-30
03,North Pole/Badger,MAIL,1022,11,3,1695,1695,1036,HOUSE: 03,2020-10-30
03,North Pole/Badger,ONLINE,272,4,2,583,583,278,HOUSE: 03,2020-10-30
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-30
