district_number,district_description,type,accept_full,accept_partial,reject,applications_received,ballots_sent,ballots_received,district,date
01,Downtown Fairbanks,INPERSON,14,25,1,0,0,40,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,MAIL,1301,3,5,2141,2141,1309,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,ONLINE,95,1,1,277,274,97,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,FAX,0,0,0,1,1,0,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,SPECIAL NEEDS,20,0,0,0,0,20,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,FWAB,0,0,0,0,0,0,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,AV TOTAL,1430,29,7,2419,2416,1466,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,EARLY,884,0,0,0,0,0,HOUSE: 01,2020-10-29
01,Downtown Fairbanks,QUESTIONED,0,0,0,0,0,0,HOUSE: 01,2020-10-29
02,Fairbanks/Wainwright,INPERSON,2,10,0,0,0,12,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,MAIL,907,12,1,1498,1498,920,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,ONLINE,235,6,2,531,526,243,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,FAX,0,0,0,0,0,0,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,SPECIAL NEEDS,4,1,0,0,0,5,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,FWAB,0,0,0,6,6,0,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,AV TOTAL,1148,29,3,2035,2030,1180,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,EARLY,557,0,0,0,0,0,HOUSE: 02,2020-10-29
02,Fairbanks/Wainwright,QUESTIONED,0,0,0,0,0,0,HOUSE: 02,2020-10-29
03,North Pole/Badger,INPERSON,3,7,0,0,0,10,HOUSE: 03,2020-10-29
03,North Pole/Badger,MAIL,966,11,3,1695,1695,980,HOUSE: 03,2020-10-29
03,North Pole/Badger,ONLINE,257,3,2,569,561,262,HOUSE: 03,2020-10-29
03,North Pole/Badger,FAX,0,0,0,0,0,0,HOUSE: 03,2020-10-29
03,North Pole/Badger,SPECIAL NEEDS,5,0,0,0,0,5,HOUSE: 03,2020-10-29
03,North Pole/Badger,FWAB,0,0,0,2,2,0,HOUSE: 03,2020-10-29
03,North Pole/Badger,AV TOTAL,1231,21,5,2266,2258,1257,HOUSE: 03,2020-10-29
03,North Pole/Badger,EARLY,668,0,0,0,0,0,HOUSE: 03,2020-10-29
03,North Pole/Badger,QUESTIONED,0,0,0,0,0,0,HOUSE: 03,2020-10-29
04,Western Fairbanks,INPERSON,8,16,0,0,0,24,HOUSE: 04,2020-10-29
04,Western Fairbanks,MAIL,2172,10,6,3509,3509,2188,HOUSE: 04,2020-10-29
04,Western Fairbanks,ONLINE,127,2,0,358,354,129,HOUSE: 04,2020-10-29
04,Western Fairbanks,FAX,1,0,0,1,1,1,HOUSE: 04,2020-10-29
